,Python,JavaScript,Bash,C++,Java,C#,HTML,JSON,C,SQL,Sh,Shell,MATLAB,XML,CSS,R,TypeScript,JSX,Lua,Vba
Python,0,431,2057,343,206,131,522,211,171,216,574,351,65,65,83,53,16,36,14,30
JavaScript,431,0,431,50,189,80,1703,274,25,68,120,102,1,92,680,2,154,149,31,10
Bash,2057,431,0,104,114,56,234,183,125,90,298,152,4,88,76,7,88,93,9,2
C++,343,50,104,0,72,64,21,22,175,11,65,25,2,19,6,2,3,1,8,2
Java,206,189,114,72,0,60,143,57,35,98,41,35,3,745,28,1,11,11,4,1
C#,131,80,56,64,60,0,73,55,13,35,21,27,1,170,6,0,14,8,3,3
HTML,522,1703,234,21,143,73,0,124,10,53,60,53,0,75,1110,1,156,47,16,3
JSON,211,274,183,22,57,55,124,0,11,34,82,40,0,29,38,0,66,20,3,0
C,171,25,125,175,35,13,10,11,0,4,83,26,4,4,2,2,1,1,7,0
SQL,216,68,90,11,98,35,53,34,4,0,55,29,1,46,16,3,13,10,2,5
Sh,574,120,298,65,41,21,60,82,83,55,0,67,1,38,23,3,15,28,6,1
Shell,351,102,152,25,35,27,53,40,26,29,67,0,1,39,15,4,17,11,4,2
MATLAB,65,1,4,2,3,1,0,0,4,1,1,1,0,1,0,7,1,0,1,0
XML,65,92,88,19,745,170,75,29,4,46,38,39,1,0,28,0,4,2,9,0
CSS,83,680,76,6,28,6,1110,38,2,16,23,15,0,28,0,0,28,114,9,2
R,53,2,7,2,1,0,1,0,2,3,3,4,7,0,0,0,1,0,1,2
TypeScript,16,154,88,3,11,14,156,66,1,13,15,17,1,4,28,1,0,25,3,0
JSX,36,149,93,1,11,8,47,20,1,10,28,11,0,2,114,0,25,0,0,0
Lua,14,31,9,8,4,3,16,3,7,2,6,4,1,9,9,1,3,0,0,0
Vba,30,10,2,2,1,3,3,0,0,5,1,2,0,0,2,2,0,0,0,0
