conversation_id,distinct_language_count
000016088f8432f403c3e46049c4e892,1
0000c22ace6495ac3816f7418a428bf1,2
0002285d400a6aa3e1ff1d5c822490e2,1
00025badb6bf2c882aa37054079c1166,4
0002a38e501461184e7d5ff452e747c9,1
000389c3eb8f1a4d2c4aa7867d647393,1
00062dde784e5493a8c10ef2a1a67a90,1
00064698d444d1c8001b6a46810b57f1,1
0006d4ef4f2f77e016c8424bdeb11935,1
000712d3175ab7f12b9eec45da59b6b2,1
000925878302088a9692724a7824d3f8,1
000c29a70d7686905c0a568eb4f1156d,1
000d50762f69be4b66e87e6aea843481,2
000db4188fa4084764c7c070058e7b11,2
000de7ac199d40df8d53d93bd8fa687d,4
00118051de91b367e42ab113c05b37a0,1
001230e8c0cf0bf3a81eb80c7f348441,1
001499ddb04813271d2f20b065528367,1
00169a6e3ac11640e923537b7ce85c75,1
0017777582412c0c4c00d726f1b60180,1
0017ff3eafbe9519becd1be640254962,2
00188c01c273e4d42be9cbd270a7d1d1,1
001b7244120d448144f8116df5af4a9d,1
00211a1ed0fb4a6b3aaed17437f06fd0,2
002133318d2ef923eb6ea9b9758c553e,2
002176194ff86fd3091da29eadc337a2,2
0021bff72493125b67e839b1bf3351da,2
00231d5339466ebcb9c1ca820be270e3,1
00235fc7035d4fb5116b424c1e89a774,1
00244fdba6a31b2f1126a44236f508e2,1
00246723ce2c240780657b21b7cc8a22,1
00252ae88b85cf829b715c1bb1587b71,2
00256207cd4934c3af54d925cffc945c,1
002572ff086a57a81da0788f2c538887,1
0026077491cc15da46a0dc45db71823c,3
0026b08637be5e9b48b9559c81b00013,1
00279dd110852a7c494321e9136a7a21,1
00283a92b2a7861eba748475e7dc384b,1
0028dd39c1a7158f8b3b6268404b1cf1,2
0029434a071c9bc1158c9ec22a69ae6f,1
002a3994e472e2895503ae2ca96a815e,1
002ab429762146ea2be6b4cd083a341c,1
002abf7ba6d9c34e3536577171d56d16,4
00326a5e3e28a344ea0e5634ee639da7,3
00335310ca92eb880a31c935c278ee20,1
0033a59ecbf3756a69e53af5f41f4eeb,1
003633b301dc2ac5c2cac098cad05282,1
00382594a7907938186b4f67ade25510,1
00385441057ce20dfb6347c230108e74,1
00391ed1502e0605ff16e7cd403e8a27,1
00397f1dae305d0393ebbbf087bcf32d,1
003aa43b86e8e2d1a5a7fdd81a28d4d3,1
003b13206e7fa729fde47f460c45e778,1
003cf77a2046fbd04887e95fd957c399,1
00452295b54ec4ead8a3bbd30563cd94,2
00480c9968755b99835bd06132e667db,1
0048baa55b47cc1c6d2205db4044a520,1
0048c0c1380ec0da2d021447dbd7e3e8,1
004a13eaa63b022e8d61c49cddc61600,4
004b0ac0bd87ea3e3c389e454737016e,1
004c616e2c1aaac094548e25e62e5866,1
004c6224026a81a9b622dc737976c42e,1
004d14cbd7efccfa6ae77b027793032d,2
004dea2f1b075d82c710690f2b46d519,1
004ed002a234511d9cb6ed9a9cfe5330,1
004f57195ac2d3834fcf85be1c0527c1,2
004f799bf03c99e88db13fcb0b3aed9c,1
004f97937383d1c7c2572d837406d5eb,1
0050802a1c66cf6ed3b8749c28d9f5ed,1
00516e7c8203d83d2150f9ba42626278,1
005175628ce1c8131c6c95b96787480b,1
0052b56e63327f500ce91c80b3583940,1
0052e46561e3358b98b3c4601f77e754,1
0053dfc0546052b659b02f24979bdc19,1
0054da487f0bc94b24df7e26d03a42ef,1
00552c65b9dec114620640fcf01ea7d1,1
0055e52bdf03f3aa4e9af0f34ad111b0,1
0055f9511dc9d9bfe3504d12c3ccf03a,1
00569f681f185c48556392e280e9646a,1
0056a8fb01c75cc88ebfc16b3944ffd0,1
0056d7aaf054259f199b423e9c27a95b,2
00576adecf07e0761b33b0523c7c597b,1
00579e1eac22fb8b03b6d577afcdc826,2
0058bfadfe208f7d0c5604d4ae27701d,1
0059b55f1cce01be46095045c47a222f,3
005d51a6e227b3c7e7d8091e0829afd3,1
006016ca7de285a41c8d68501aa572aa,1
006173d9157d2933507acf516c78880f,2
0061d12014bfb59b15d4491f27de7662,3
0062d3a6ae266cccbe859492a648ee18,1
00635d40dfe178c008439f7d7c958263,1
006409da367c0a98ca39b38e207526d4,1
006425167630098e2775186a1440b756,1
006496d9d24bdda7be11d891de702fa8,2
00656ecf0343ee679515693d81eabeeb,1
00658644e9f09785f689a673437a7e74,1
006704ec370c4afff235e2f36204f411,1
006764ea186f7c7d275f5884c0e01ec4,1
006784350a8fa19451d344e50610af50,2
00690bac02219d3fed539b2404c11fd6,1
00699bb63e90ecf733883ecd7597fcd3,2
006a8dc34f8c6636142962763a3b41e4,2
006b7300b3f20e83d9efd70c11e0f138,1
006b9e63bc7d3661fc35a672d75c7834,1
006c43c9571e1a36ab11e8129563a5d1,1
006fd2d1752ed256200a52974a1c5809,1
007217dbf071624f4c9ae316bc8dd2cb,1
007275f88060ad984743c14e09cf0254,2
007349a5bccbb346734cc6407f2bc143,1
00736d762cd307a61d6f30ddf99c83d1,1
0074d3efebaa46560a4608e4936bf287,1
0077fee7917d3019a47a300029458047,1
007d83f02c722d6577b156bab2e9ad78,1
007d9b0a4403667457425195dd2f3131,1
007f1c6114e6a67409aeabdd8c0f068b,2
00803f3fbf2ef1722db23fc9daabe553,1
008047245a24336f1acfecfcbad15055,1
00813d9c8b00233a2bffb9add456257e,1
0083fce71cbdac49cfe6689ecb9b8a7c,1
00843b103420707468a0b1d9cd86e4da,2
0084d9c0dae9ca1cf9972ff109d56cde,1
0086059f7200d2c7b6d29db5896486ef,1
0087673400f7935d66cd233f45136846,2
0087dd28995e490bf99662cf0087de7b,2
0088db657f19c15fb12c67c8a24aa687,2
008959f9ca96227d4bd4fdfa041b6d37,1
008a31942c28f705797292eac3258498,1
00901c29758ff7c798fb3d17b3a024ab,1
00904030aa271273f0c35a0ced1563fa,2
0092b99c59f748c300b72587282317d5,1
009351b85e72d432448ad24e7cb44730,1
00937181e1033adaa2dd5d4efd7bb316,2
009460558b0049249e965ada765a8d3c,2
0096cc3f3bab1e59ad771f9e218ef796,1
00971894b29d4572e07b657d4cb06ff3,1
00986b7d8e3104ecd3219b715a613b06,1
0098bb9111bdc2fe5e51e15e8f322c0f,2
00998e8072b33e22fa4c808bff90f250,1
009ca40694309f22d186266752b1cdc6,2
009d61cc4d839c6d976b464f36cafd93,1
00a2341768a1b5b743ba150bcb6d20ba,1
00a2969a923a09ac5f602ce5277abfe9,1
00a368a66612a012f2c611e1da659429,2
00a578b8a8fbb7bee27eea67c8741db7,1
00a7726562ecc9f65a981b1f7c10cf3b,3
00a9db0e0096f57595eafc81058dda75,1
00aaf48d935e462222f7dd7649781961,1
00ab50477d17985dc02ab244e2a594ff,3
00abbbdc9837a1a4a188cdac543a141c,1
00ad3268fe8f07549d4339204a26f1a5,1
00ad80b05bc6f4f434b123ea8a62af06,1
00ad84fbc9db447e5cd30fc8cdb74c2d,1
00ae2533fcc06b5680ed7f9fd50f14b6,1
00aed61204738393ac7b2c11342b3c57,1
00af34dd7d2953086a748142f7091094,1
00b3d966a315a4b19e53c24a271c0900,1
00b4b184046fba7406f9911463415a7c,1
00b6c8adfc9d8dde502cac8fc312490c,1
00b777a2ea49dcad6cf788d2c2305bb3,1
00b99224ee374af8d569d90f2635f087,1
00ba098e83c43caecaa0a6850b74e934,1
00bb725a27f1cb2b850759c3f8d85b4e,3
00bd8f2ef3fa822f53428d24fc279685,1
00c741d298d9dbe1e2229dc9d4ecdda9,2
00c88cef376c232547b632b30add586c,1
00c98b33d7c54030f7a1326079e14c8b,1
00c9ba3f2e7ebe3a011ff7e8c8877ed0,1
00cc26c76d6bb3dee23551ca4e101831,1
00cdcbd476fb7f9f025ae2e1376b3907,1
00cf3b4269b16301e3db74d9cb13329d,1
00d0ba55ba2338ce0e11d63387f5aa27,1
00d0c7b06a20b9b51042fd9b7a6989d2,1
00d1564a1a75581205e341cb11bde126,3
00d212f93752bcf31cc0ddf867515077,1
00d2699edfc94086e112fdb7332229cc,1
00d2a5e9a055d23a592e23d7a37bad4a,1
00d4be4f294499cb83315580aa8bf5de,1
00d63f1853b5c32a0cf103523802d65a,2
00d71f99f56151bb4bee5d6868658174,1
00d76a2a1ad3dc72ab63dec9e30d568f,2
00d8fd5784a7bb095eefc59f02f3cf78,2
00d92d526f4483d62f25ff71c1046f47,2
00da3acc0a43cfe486bc16f0a4f5e632,1
00da6470874f701e1902cd55369bb2c3,3
