language,average_non_empty_lines,snippet_count
python,17.52818991097923,84924
json,18.607806224899598,7968
vba,24.305028854080792,2426
clojure,11.494117647058824,595
html,24.940510766149224,9985
c,25.331741935483873,7750
csharp,23.784537725823593,15056
jinja,20.352941176470587,34
bash,2.775187265917603,21360
csv,9.575757575757576,66
elixir,5.125,16
sql,8.973107569721115,6024
java,20.917166459205614,17674
ijvm,11.0,3
css,17.297542043984475,3092
javascript,17.631979264043512,23534
jsx,22.226506024096384,2490
cpp,23.181559362669198,20021
pinescript,24.166666666666668,222
markdown,12.714285714285714,308
language,12.0,1
pseudocode,28.5,18
lua,18.221950224398206,2451
excel,2.650872817955112,401
ini,8.210526315789474,228
matlab,18.81510710259301,3548
nginx,12.4822695035461,141
xml,11.932714617169374,3448
regex,2.5833333333333335,120
rust,18.861129136924074,1541
sh,2.5803960396039605,5050
plaintext,10.283783783783784,1184
powershell,6.726072607260726,1212
typescript,15.433962264150944,2703
batch,14.332317073170731,328
cmd,3.398843930635838,346
wikicode,34.333333333333336,3
shell,2.750978200111794,3578
gradle,6.833333333333333,174
php,15.583242655059848,1838
dockerfile,10.595890410958905,292
svelte,13.1875,32
bat,14.34074074074074,135
gdb,3.642857142857143,14
sas,11.917525773195877,97
ruby,18.860655737704917,366
yaml,12.454966887417218,1510
r,9.582599864590385,2954
gdscript,17.162721893491124,338
mql4,34.448094612352165,761
solidity,11.987350667603653,1423
scala,12.639257294429708,377
properties,4.58080808080808,198
assembly,25.403899721448468,359
go,28.6455617628802,1611
dart,20.713305174234424,1894
autohotkey,18.025641025641026,78
cmake,7.332378223495702,349
gd,21.0561797752809,89
tsx,24.27763496143959,389
text,8.587301587301587,63
vue,30.083629893238435,562
kotlin,16.34825234441603,2346
glsl,15.982142857142858,280
julia,14.005738880918221,697
bsl,4.666666666666667,12
makefile,7.537735849056604,106
groovy,9.88981288981289,481
antlr,8.363636363636363,11
toml,4.8477508650519034,289
swift,17.47345132743363,452
processing,35.25,12
cs,22.3,20
console,3.0,17
llvm,13.0,1
hlsl,12.714285714285714,56
vim,4.4,65
asm,26.053333333333335,75
perl,14.02127659574468,47
pug,4.6,5
hcl,25.955882352941178,68
mysql,5.171428571428572,70
vhdl,28.88,50
scss,17.0,38
vbscript,22.228571428571428,70
latex,14.102380952380953,420
vb,19.424307036247335,469
nim,20.735294117647058,34
cfg,17.0,13
mathematica,18.172804532577903,353
pascal,38.276595744680854,141
delphi,29.18274111675127,197
tcl,16.09090909090909,11
wolfram,12.594594594594595,74
plantuml,40.13709677419355,124
puml,45.5,2
dax,11.675824175824175,182
haskell,11.038560411311053,389
cql,5.363636363636363,11
txt,6.458333333333333,48
portugol,26.0,2
sage,27.0,3
reg,4.868421052631579,38
pseudo,18.954545454545453,44
conf,10.09322033898305,118
liquid,14.8125,16
mcfunction,3.6785714285714284,28
ada,7.620689655172414,29
1c,16.24590163934426,61
scad,50.0,1
cshtml,6.875,16
systemverilog,38.6,70
openscad,17.666666666666668,9
http,6.7,40
ahk,15.300884955752212,113
pine,13.818181818181818,44
prisma,16.23076923076923,26
elisp,13.25,8
xaml,13.953917050691244,217
qmake,11.5,6
stan,3.3333333333333335,3
ejs,3.6,5
jsp,14.607843137254902,153
basic,26.2,40
mongodb,14.333333333333334,3
twig,5.0,11
verilog,30.26829268292683,123
m,11.678571428571429,28
prolog,18.632653061224488,294
docker,16.0,2
command,2.0,4
patch,22.0,1
graphql,8.923076923076923,13
hoi4,70.0,1
lisp,22.359223300970875,103
actionscript,16.671091445427727,678
mermaid,20.71005917159763,169
bibtex,9.666666666666666,6
terraform,27.0,3
diff,30.03846153846154,26
qml,14.928571428571429,14
xpath,2.0,27
qs,14.0,5
scilab,16.71153846153846,52
arduino,31.875,32
hspice,61.0,1
tex,13.714285714285714,21
razor,10.766666666666667,30
racket,12.382716049382717,81
mq4,44.0,12
mql5,30.676258992805757,139
gml,15.11864406779661,59
as3,11.590277777777779,144
react,12.0,1
pro,6.5,6
math,2.0,5
supercollider,11.227272727272727,66
gherkin,18.1,20
sol,6.333333333333333,3
cucumber,8.375,8
plain,8.411764705882353,17
smali,13.9375,16
dot,25.833333333333332,6
objective-c,11.185714285714285,70
fsharp,2.0,2
scheme,13.833333333333334,30
fortran,25.448275862068964,29
cobol,6.0,2
erlang,21.0,8
elm,5.666666666666667,3
plsql,6.428571428571429,7
smalltalk,2.0,2
logo,2.0,1
coffeescript,2.0,1
ocaml,11.878048780487806,41
crystal,2.0,1
boo,2.0,1
vala,4.0,1
owl,10.0,2
tsql,13.0,1
emacs-lisp,5.333333333333333,3
livecode,11.333333333333334,15
stata,4.024793388429752,121
markup,5.8,5
tlis,37.5,2
tjs,10.2,10
xslt,21.0,1
jql,2.0,10
windev,17.513513513513512,37
html-vue,8.0,5
tcsh,3.0,1
graphviz,26.0,1
flux,4.4,5
drools,18.0,1
apache,6.775862068965517,58
erb,3.25,4
cron,2.2,5
config,15.5,2
plpgsql,7.0,8
ps1,14.5,4
msf,5.0,4
blocks,8.2,10
scratchblocks,12.0,1
scratch,17.88888888888889,27
nix,21.205128205128204,78
abc,16.47222222222222,36
dts,5.666666666666667,3
jsonata,2.0,3
html+php,61.666666666666664,3
vbs,17.0,11
smarty,4.666666666666667,3
mel,34.42857142857143,7
gpc,7.0,1
mosel,16.0,1
nextflow,8.0,2
registry,4.0,1
purescript,10.0,2
regexp,2.0,2
coq,27.8,5
make,7.571428571428571,7
swig,3.3333333333333335,3
clips,20.0,16
routeros,4.285714285714286,7
wiki,17.857142857142858,7
err,2.0,1
redis,2.0,7
error,2.0,1
applescript,17.44736842105263,38
mdx,9.0,2
cuda,45.166666666666664,6
protobuf,24.46153846153846,26
apple_script,2.0,11
forth,17.444444444444443,9
select,17.333333333333332,6
ps,2.125,16
pawn,28.4375,16
c+++,339.0,1
batchfile,7.0,1
flex,18.0,1
bison,28.0,1
pseudo-code,19.8,5
mql,17.75,12
yara,7.071428571428571,14
promql,2.0,2
zsh,6.833333333333333,6
objc,12.916666666666666,12
curl,8.0,1
maple,3.6206896551724137,29
opl,21.5,2
aidl,4.0,1
zig,20.6,5
excel-vba,20.5,2
shader,8.222222222222221,9
x++,31.4,5
ahdl,32.5,2
avro,7.333333333333333,3
powerapps,13.904761904761905,21
datalog,3.0,2
papyrus,7.25,4
org,39.0,2
svg,9.0,26
bazel,12.0,1
autolisp,13.0,1
foxpro,14.64864864864865,37
gitignore,4.0,2
cypher,4.954545454545454,22
macro,2.5,4
npm,2.0,1
ebnf,12.714285714285714,7
bnf,11.0,1
srt,123.11111111111111,9
ipython,3.0,3
clojurescript,36.75,4
django,18.3,10
spl,4.666666666666667,3
autoit,21.333333333333332,6
purebasic,27.727272727272727,11
kickstart,9.6,15
env,2.6666666666666665,6
lang,2.0,1
pine-script,23.0,3
dm,30.833333333333332,6
powerfx,27.22222222222222,9
thrift,6.0,3
ssh_config,6.0,1
sass,38.0,1
idl,5.0,1
octave,15.517241379310345,29
git,2.0,5
blade,8.588235294117647,17
qc,5.0,3
apacheconf,7.333333333333333,3
aspx,16.0,2
sqf,34.645833333333336,48
mathcad,3.909090909090909,11
desktop,9.0,2
cisco,3.6,5
maxscript,27.25,4
fbs,7.0,1
apex,24.0,3
as,2.0,1
osl,27.02857142857143,70
none,4.166666666666667,12
move,29.0,1
pf,2.0,2
ampl,11.0,2
shaderlab,49.0,1
jil,12.0,1
bms,24.0,1
gtk,3.5,2
tmux,2.0,1
uci,27.0,1
renpy,16.068493150684933,73
unrealscript,41.0,2
base64,2.0,1
wgsl,82.5,2
lsl,7.0,1
ncl,23.5,6
cplusplus,51.0,1
conky,6.0,1
blitzbasic,117.0,2
visualforce,15.5,2
ladder,74.5,2
proto,18.5,2
haxe,25.6875,16
cmmake,4.0,1
mongo,5.0,5
jsonl,3.0,1
string,3.0,1
swrl,2.0,1
nsis,22.0,5
yul,29.25,4
huff,24.0,1
ld,4.0,2
cython,21.666666666666668,3
vbnet,22.25,4
asp,18.5,2
fish,2.0,4
walter,4.0,1
gams,59.5,2
pig,3.5,4
robot,37.0,2
eel2,11.0,4
overpass,8.0,2
ldap,2.0,1
zpl,11.0,2
sourcepawn,45.0,1
tsp,13.727272727272727,11
asdl,3.6,5
dataview,3.0,2
dataviewjs,3.0,1
smt,3.3333333333333335,3
raw,3.0,1
inf,5.2,5
plist,5.0,1
ics,397.0,1
afl,14.0,1
awk,9.0,1
astro,23.0,7
joy,3.3333333333333335,3
s,6.0,1
less,5.8,5
nasm,58.833333333333336,6
dash,14.5,2
handlebars,24.5,2
bbc,57.0,1
rpy,2.2222222222222223,9
terminal,2.25,4
vimscript,2.1666666666666665,6
spec,3.5,2
ridl,11.0,1
url,2.0,1
dotenv,5.0,2
caddyfile,16.0,4
mediawiki,12.0,2
ascii,7.0,1
func,43.0,1
eel,2.0,1
aspnet,6.0,1
zoql,9.0,1
ce,4.0,2
fennel,5.0,2
praat,23.0,2
pgsql,3.235294117647059,17
yacc,38.0,2
bpftrace,19.25,4
procfile,2.0,2
pgsq,23.0,1
minecraft,2.0,22
aftereffects,8.0,1
qbasic,10.0,1
quakec,13.0,1
arm,15.0,1
gn,2.0,2
rst,12.0,1
abap,145.0,1
skript,28.0,1
prism,16.0,1
netlogo,37.5,2
blueprint,2.5,2
qsharp,17.0,1
hiveql,2.0,3
psudo,11.0,1
mocodo,8.0,1
lilypond,23.333333333333332,3
lrc,5.0,1
sagemath,25.4,5
tablegen,19.0,2
mlir,14.5,2
meson,4.6,10
crelasticran_integration_request_with_empty_celldata,41.0,1
wikitext,39.0,1
hs,4.0,1
log,8.0,1
halcon,4.818181818181818,11
lex,12.0,1
cxx,37.0,1
v,50.333333333333336,3
jojo,4.9375,16
sudoers,2.0,2
crontab,2.0,2
actionscript3,8.285714285714286,7
