conversation_id,turn,dates
435375dc2713e063e36562bfbacef7db,11,2024-02-19
795dc848c10ff3dfe3fb10486885e0ed,2,2024-02-19
58a6f9a4520c61879fed02d2796bc371,19,2024-02-19
b1f8978b5f1bf587db2de91692472097,2,2024-02-19
53a59021d09abcd4071956a512750186,4,"2024-02-17, 2024-02-19"
48e6082926f7c6ce205e3e8bde8fe38f,2,2024-02-19
29c767ad7e295bfb43cd8753e74cd323,1,2024-02-19
8ad3da292940bb45da4d519db4e793df,1,2024-02-19
f71c3a190cf3ad42d1c3f26044cf2224,4,2024-02-19
7c6c19bd3cb91d70ee3b2d8f98621bbf,2,2024-02-19
200223b6486b81bd0153075683df5859,1,2024-02-19
680eadc952af8deb1356fe7bb6e98819,9,2024-02-19
4ba5ff1bf981b83078350a477ae74ea4,4,2024-02-19
e2cf48ab88da41e7e8c14ce3c3539d3b,5,2024-02-19
f8d0df7c62dbd48c12d7ec4d2486aca0,7,2024-02-19
d915ec846e578324b6a54fdf4df96993,4,2024-02-19
d05958a820f5a739e1a116e58764d40c,2,2024-02-19
4e7cf9e6832746def72bc490052446fb,1,2024-02-19
8f4e8242de88335b732f0e23144cc1d7,7,2024-02-19
cc8b3415a021d6415f9d85de14fdf830,11,2024-02-19
5be5e04e7f91d7fecbbb3cfa8e38ad08,1,2024-02-19
cb623742c8c6a92a40ba4aa5b25af337,2,2024-02-19
e90604b1c1d61eccfdf8320985a317d1,3,2024-02-19
78a0f996b3cbbd89e4d4ca20a6f35415,89,2024-02-19
896339865e2b3f49e9790d42acb5b7c5,7,2024-02-19
eb3f95b517ef473de78187007bcc8331,2,2024-02-19
47b9d9139029bd34e4a01061f85dff62,5,2024-02-19
ce5ad7ce2bdbcbfff2c94fa54c15615e,15,"2024-02-16, 2024-02-17, 2024-02-19"
409259264518f2097bda8370237ca110,1,2024-02-19
b8338432ef8e332df4f8c1ebe08a2ee1,2,2024-02-19
587682cab86be75f5f4527c5df3b0a81,1,2024-02-19
79958915c0b387aee6574be6b27a7545,4,2024-02-19
b9314f67dd03df94df67c18a78dbcb71,1,2024-02-19
67fe70e03f60e571a4215dfaf6b64289,11,"2024-02-17, 2024-02-19"
