Topic,Count,Name,Representation,KeyBERT,MMR,OpenAI,Representative_Docs
-1,15451,-1_musician_req_canvas_renderer,"['musician', 'req', 'canvas', 'renderer', 'const', 'res', 'let', 'void', 'math', 'event']","['button', 'canvas height', 'addeventlistener', 'error', 'document getelementbyid', 'div', 'image', 'req', 'import flash', 'canvas']","['musician', 'req', 'canvas', 'renderer', 'res', 'musicians', 'city', 'genre', 'var', 'json']",['<topic_label>Musician Data Management and Visualization</topic_label>'],
0,3842,0_mov_ptr_eax_int,"['mov', 'ptr', 'eax', 'int', 'printf', 'dword ptr', 'ebp', 'dword', 'std', 'int17matrix3d']","['array', 'printf', 'program', 'size_t', 'int32_t', 'int main', 'integer', 'int int', 'int size', 'std string']","['printf', 'dword ptr', 'int17matrix3d', 'int int', 'array', 'std string', 'int32_t', 'program', 'size_t', 'operator']",['<topic_label>Assembly-Level Operations and Memory Handling</topic_label>'],
1,2049,1_torch_nn_model_keras,"['torch', 'nn', 'model', 'keras', 'loss', 'batch_size', 'tokenizer', 'layers', 'activation', 'shape']","['torch tensor', 'torch nn', 'tensorflow keras', 'tensorflow', 'tf keras', 'dtype torch', 'x_train', 'lstm', 'keras', 'numpy']","['torch', 'nn', 'keras', 'batch_size', 'tokenizer', 'tensor', 'train', 'event_x', 'activation relu', 'lstm']",['<topic_label>Machine Learning Model Training and AI Bot Deployment</topic_label>'],
2,1500,2_td_div_div class_li,"['td', 'div', 'div class', 'li', 'div div', 'href', 'td td', 'class', 'span', 'html']","['css', 'hover', 'li href', 'footer', 'html', 'nav', 'div class', 'div div', 'text align', 'href']","['td', 'div', 'div class', 'div div', 'html', 'margin', 'tr', 'input type', 'background color', 'document getelementbyid']",['<topic_label>Web Design and Development</topic_label>'],
3,1215,3_driver_soup_url_django,"['driver', 'soup', 'url', 'django', 'webdriver', 'chromedriver', 'self return', 'appium', 'db', 'page']","['selenium webdriver', 'beautifulsoup', 'webdriver', 'selenium', 'html parser', 'soup beautifulsoup', 'django', 'xpath', 'class_', 'find_element']","['soup', 'django', 'webdriver', 'chromedriver', 'appium', 'selenium', 'beautifulsoup', 'request_json', 'flask', 'https']",['<topic_label>Web Scraping and Data Management</topic_label>'],
4,1183,4_ip_suricata_iptables_http request,"['ip', 'suricata', 'iptables', 'http request', 'http', 'sfs', 'server', 'port', 'request headers', 'socket']","['tcp 192', 'socketchannel', 'serversocketchannel', 'clientsocketchannel', '0t0 tcp', 'tcp', 'sfs error', 'http request', 'iptables input', 'eq http']","['iptables', 'http request', 'http', 'request headers', 'tcp', 'http user_agent', 'ipv4', 'headers sec', 'packet', 'asterisk']",['<topic_label>Network Connection Management and Log Analysis</topic_label>'],
5,1142,5_symbolentry_vector3_transform_creep,"['symbolentry', 'vector3', 'transform', 'creep', 'local', 'public float', 'transform position', 'velocity', 'position', 'humanoid']","['hoverpoint', 'humanoid moveto', 'jump', 'hud', 'trickmanager', 'collider', 'using unityengine', 'currentturn', 'rotation', 'velocity']","['symbolentry', 'transform position', 'humanoid', 'address symbolentry', 'symbolentry symbolentry', 'gameobject', 'getcomponent', 'movement', 'creep humanoid', 'vector2']",['<topic_label>Game Development and Control Mechanics</topic_label>'],
6,1117,6_np_image_cv2_best_lines,"['np', 'image', 'cv2', 'best_lines', '151 139', '151', 'remaining_points', 'np ndarray', 'ndarray', '155 151']","['image_threshold', 'image cv2', 'homography', 'image shape', 'warped_image', 'histogramframe', 'cv2', 'camera target', 'keypoints', 'np array']","['cv2', 'best_lines', 'speedometer', 'potential_points', 'coords', 'shape', 'homography', 'np array', 'source_coordinates', 'img shape']",['<topic_label>Image Processing and Analysis</topic_label>'],
7,1114,7_portfolio_business_ai_strategy,"['portfolio', 'business', 'ai', 'strategy', 'strategy2_selection', 'strategy1_selection', 'haircut', 'risk', 'ed', 'business administrator']","['voice assistants', 'assistants', 'ai', 'assistant', 'booking', 'recommendation systems', 'business administrator', 'business', 'programming', 'management']","['portfolio', 'business', 'ai', 'strategy1_selection', 'business administrator', 'assessment', 'assistant', 'portfolio return', 'students', 'stock']",['<topic_label>AI-Augmented Business Tools and Strategy Automation</topic_label>'],
8,1032,8_react_classname_gstyle_usestate,"['react', 'classname', 'gstyle', 'usestate', 'style gstyle', 'div classname', 'text style', 'props', 'fff', 'view style']","['usestate react', 'react usestate', 'react router', 'import react', 'react', 'react native', 'react import', 'usestate useeffect', 'usestate const', 'useeffect const']","['react', 'gstyle', 'usestate', 'style gstyle', 'text style', 'view style', 'react import', 'usestate const', 'import react', 'touchableopacity']",['<topic_label>React-based Frontend Development and State Management</topic_label>'],
9,1021,9_android_androidx_import android_import androidx,"['android', 'androidx', 'import android', 'import androidx', 'compose', 'wire', 'androidx compose', 'com example', 'drawable', 'layout_height']","['oncreate', 'android text', 'android view', 'android widget', 'myapp_2', 'example myapp_2', 'android id', 'androidx compose', 'android content', 'android com']","['androidx', 'import androidx', 'androidx compose', 'drawable', 'layout_height', 'android layout_width', 'android layout_height', 'wrap_content android', 'recyclerview', 'widget']",['<topic_label>Android User Interface Development</topic_label>'],
10,954,10_00000000_00000000 00000000_source file_756,"['00000000', '00000000 00000000', 'source file', '756', 'cmake', 'rangement', 'eventparam', 'usr', 'source', '187']","['x86_64', 'source file', 'error stray', 'clang', 'liste_eqp_distrinor', 'error', 'makefile', 'cpp src', 'cmake', 'qemu']","['source file', 'cmake', 'rangement', 'cpp', 'build', 'begin source', 'file source', 'file begin', 'ift1810 tp3a', 'schoolressources ift1810']",['<topic_label>Code Error Resolution and Debugging</topic_label>'],
