conversation_id,final_cluster_id,turns
0002285d400a6aa3e1ff1d5c822490e2,41,1
00025badb6bf2c882aa37054079c1166,14,1
0002a38e501461184e7d5ff452e747c9,18,1
0002a38e501461184e7d5ff452e747c9,1,3
000389c3eb8f1a4d2c4aa7867d647393,0,1
000560501a754b8dcbcc419120d96f69,35,2
000712d3175ab7f12b9eec45da59b6b2,16,1
000c29a70d7686905c0a568eb4f1156d,33,1
000d50762f69be4b66e87e6aea843481,18,2
000d50762f69be4b66e87e6aea843481,42,1
000db4188fa4084764c7c070058e7b11,3,2
000de7ac199d40df8d53d93bd8fa687d,7,6
000de7ac199d40df8d53d93bd8fa687d,11,1
000de7ac199d40df8d53d93bd8fa687d,10,1
001230e8c0cf0bf3a81eb80c7f348441,5,1
001230e8c0cf0bf3a81eb80c7f348441,10,1
0012f21cd62c93ada856d6b7bf319f6b,8,7
0012f21cd62c93ada856d6b7bf319f6b,11,2
0012f21cd62c93ada856d6b7bf319f6b,26,3
001499ddb04813271d2f20b065528367,27,3
00169a6e3ac11640e923537b7ce85c75,8,1
0017ff3eafbe9519becd1be640254962,30,1
00188c01c273e4d42be9cbd270a7d1d1,1,3
001b0170666539f889433df7031bc0bf,0,2
001b7244120d448144f8116df5af4a9d,17,1
00211a1ed0fb4a6b3aaed17437f06fd0,0,1
002133318d2ef923eb6ea9b9758c553e,20,1
002133318d2ef923eb6ea9b9758c553e,0,3
0021b195ab1fab4f6bcc35cb86663b11,4,4
0021b195ab1fab4f6bcc35cb86663b11,4,10
00231d5339466ebcb9c1ca820be270e3,25,1
00244fdba6a31b2f1126a44236f508e2,1,1
00246723ce2c240780657b21b7cc8a22,28,4
00252ae88b85cf829b715c1bb1587b71,33,1
00252ae88b85cf829b715c1bb1587b71,39,7
00256207cd4934c3af54d925cffc945c,5,5
002572ff086a57a81da0788f2c538887,4,1
0025d422ae26321f4fdf98aa95c3eefd,8,3
0025d422ae26321f4fdf98aa95c3eefd,5,1
0026077491cc15da46a0dc45db71823c,19,1
00264e4894e101157275e0dddd89dccc,19,7
00279dd110852a7c494321e9136a7a21,31,1
00283a92b2a7861eba748475e7dc384b,44,1
002abf7ba6d9c34e3536577171d56d16,2,9
002d3fab561711d25c3d65288ae84f3d,1,1
002d3fab561711d25c3d65288ae84f3d,1,2
00335310ca92eb880a31c935c278ee20,2,2
0033a59ecbf3756a69e53af5f41f4eeb,12,1
00349e690bbe305ade0dd1e0127b51a2,0,2
00349e690bbe305ade0dd1e0127b51a2,0,1
003633b301dc2ac5c2cac098cad05282,17,3
0038325f62d5ac9a086bc7d64fc5e466,10,4
00385441057ce20dfb6347c230108e74,10,1
00397f1dae305d0393ebbbf087bcf32d,42,2
003aa43b86e8e2d1a5a7fdd81a28d4d3,7,1
003aa43b86e8e2d1a5a7fdd81a28d4d3,21,2
003aa43b86e8e2d1a5a7fdd81a28d4d3,46,4
003b13206e7fa729fde47f460c45e778,20,6
00452295b54ec4ead8a3bbd30563cd94,0,1
00480c9968755b99835bd06132e667db,4,1
0048baa55b47cc1c6d2205db4044a520,43,1
0048c0c1380ec0da2d021447dbd7e3e8,37,1
004a13eaa63b022e8d61c49cddc61600,9,2
004a13eaa63b022e8d61c49cddc61600,3,2
004b0ac0bd87ea3e3c389e454737016e,16,2
004c616e2c1aaac094548e25e62e5866,3,2
004c6224026a81a9b622dc737976c42e,38,1
004cac9e7e4cc15306fca3c32f5647db,7,6
004cac9e7e4cc15306fca3c32f5647db,11,1
004d14cbd7efccfa6ae77b027793032d,18,4
004f57195ac2d3834fcf85be1c0527c1,4,1
004f799bf03c99e88db13fcb0b3aed9c,32,1
004f799bf03c99e88db13fcb0b3aed9c,28,2
004f97937383d1c7c2572d837406d5eb,15,1
0050802a1c66cf6ed3b8749c28d9f5ed,3,4
00516e7c8203d83d2150f9ba42626278,5,1
005175628ce1c8131c6c95b96787480b,46,1
0052e46561e3358b98b3c4601f77e754,1,2
00532de2b52b79d6461ed7bba1ce97e6,8,1
0053dfc0546052b659b02f24979bdc19,9,1
0054da487f0bc94b24df7e26d03a42ef,2,3
0055e52bdf03f3aa4e9af0f34ad111b0,8,2
0055f9511dc9d9bfe3504d12c3ccf03a,4,1
0056d7aaf054259f199b423e9c27a95b,1,1
00576adecf07e0761b33b0523c7c597b,15,1
00579e1eac22fb8b03b6d577afcdc826,23,1
0059b55f1cce01be46095045c47a222f,0,1
005d5fba82b0d7d81ab7e3507779b7e1,9,4
006016ca7de285a41c8d68501aa572aa,25,1
0061d12014bfb59b15d4491f27de7662,36,1
0061d12014bfb59b15d4491f27de7662,43,2
0061dee46db87d9819a39c60767d4a3f,12,2
0062d3a6ae266cccbe859492a648ee18,25,1
00635d40dfe178c008439f7d7c958263,8,1
006409da367c0a98ca39b38e207526d4,1,1
006425167630098e2775186a1440b756,3,14
006496d9d24bdda7be11d891de702fa8,9,1
00656ecf0343ee679515693d81eabeeb,0,1
00658644e9f09785f689a673437a7e74,41,1
006704ec370c4afff235e2f36204f411,44,2
00671a0ff79723730eb8cc577b887051,1,2
006784350a8fa19451d344e50610af50,16,3
006784350a8fa19451d344e50610af50,30,1
006a8dc34f8c6636142962763a3b41e4,0,1
006c43c9571e1a36ab11e8129563a5d1,37,1
006fd2d1752ed256200a52974a1c5809,20,6
0071f60f52986c890a8732bf6c939483,27,1
007217dbf071624f4c9ae316bc8dd2cb,35,1
00736d762cd307a61d6f30ddf99c83d1,36,3
0077e7a973cae9bf4e5b327fbb2a8408,42,3
0077fee7917d3019a47a300029458047,20,1
0079dc48111ce702ea5766731ae5a1ec,13,1
007faedd5ed342b8df55ff12eaa56585,3,1
008047245a24336f1acfecfcbad15055,3,2
00813d9c8b00233a2bffb9add456257e,24,3
0083fce71cbdac49cfe6689ecb9b8a7c,4,5
00843b103420707468a0b1d9cd86e4da,4,1
0084d9c0dae9ca1cf9972ff109d56cde,2,2
0086059f7200d2c7b6d29db5896486ef,13,7
008759b595903bb457f067d7e46dcf50,10,2
00879aaffd6328ad3b0cf4c2bbec2f27,15,1
0087b3f4a1f3f3db7bc053b4158e27d4,3,3
0087dd28995e490bf99662cf0087de7b,0,1
00904030aa271273f0c35a0ced1563fa,1,1
00904030aa271273f0c35a0ced1563fa,24,1
00904030aa271273f0c35a0ced1563fa,38,1
009351b85e72d432448ad24e7cb44730,1,1
00937181e1033adaa2dd5d4efd7bb316,9,11
0093dfb4c12fece137d50254b084f70a,10,3
009460558b0049249e965ada765a8d3c,0,5
009460558b0049249e965ada765a8d3c,11,1
00971894b29d4572e07b657d4cb06ff3,23,1
0098bb9111bdc2fe5e51e15e8f322c0f,25,4
00998e8072b33e22fa4c808bff90f250,40,2
009b87ceda86605d1891c6133e2ad263,21,1
009c179d6a5451f616b69cce67f35f37,30,1
009ca40694309f22d186266752b1cdc6,10,1
009d61cc4d839c6d976b464f36cafd93,31,2
00a2969a923a09ac5f602ce5277abfe9,16,1
00a368a66612a012f2c611e1da659429,43,3
00a4bb752869eb7cb5a464dc34c13667,3,1
00a64f54b2f7d8d03a750e9b53ee5a36,17,2
00a7726562ecc9f65a981b1f7c10cf3b,39,2
00a7726562ecc9f65a981b1f7c10cf3b,40,5
00a9db0e0096f57595eafc81058dda75,1,2
00aaf48d935e462222f7dd7649781961,6,3
00ab50477d17985dc02ab244e2a594ff,42,1
00abbbdc9837a1a4a188cdac543a141c,9,1
00ad3268fe8f07549d4339204a26f1a5,5,1
00ad80b05bc6f4f434b123ea8a62af06,1,2
00ad84fbc9db447e5cd30fc8cdb74c2d,26,4
00ae2533fcc06b5680ed7f9fd50f14b6,15,1
00ae2533fcc06b5680ed7f9fd50f14b6,20,1
00aed61204738393ac7b2c11342b3c57,23,2
00af34dd7d2953086a748142f7091094,14,1
00b3d966a315a4b19e53c24a271c0900,2,1
00b4b184046fba7406f9911463415a7c,16,3
00b6c8adfc9d8dde502cac8fc312490c,2,2
00b6c8adfc9d8dde502cac8fc312490c,6,2
00b6c8adfc9d8dde502cac8fc312490c,34,1
00b777a2ea49dcad6cf788d2c2305bb3,26,1
00b99224ee374af8d569d90f2635f087,41,2
00bb725a27f1cb2b850759c3f8d85b4e,21,7
00bdefe7edad7c49c4fa91ed62070d5e,7,7
00c24de92bc515a7f49e6721db148043,13,1
00c6275bf216cd32b29fbadb374cb1f2,9,2
00c88cef376c232547b632b30add586c,5,1
00ccc77378b20964c82fefc0fe32c2ca,27,1
00cf3b4269b16301e3db74d9cb13329d,1,3
00d0c7b06a20b9b51042fd9b7a6989d2,12,8
00d1564a1a75581205e341cb11bde126,10,12
00d212f93752bcf31cc0ddf867515077,0,1
00d26218b0cffe2d2605ff8c57307551,1,1
00d2699edfc94086e112fdb7332229cc,20,1
00d2a5e9a055d23a592e23d7a37bad4a,29,1
00d4619962d4cd6348bdb1e55099ce70,3,3
00d4be4f294499cb83315580aa8bf5de,22,1
00d76a2a1ad3dc72ab63dec9e30d568f,1,3
00d7be0df5c564856585a58e0760d368,5,2
00d7be0df5c564856585a58e0760d368,11,1
00d8fd5784a7bb095eefc59f02f3cf78,29,1
00d92d526f4483d62f25ff71c1046f47,2,2
00da3acc0a43cfe486bc16f0a4f5e632,39,3
00da6470874f701e1902cd55369bb2c3,10,1
00db064dfb99a582cc334b760ff74317,2,1
00db96d91742705d7ba4fe15bb34a508,37,3
00dd0175aa4865992c354eceed7807e9,6,3
00dd4985cd085501e3b276fea12df62e,28,1
00dd534ee8323e5cf463b98021f8d4e7,7,1
00df38327ccb280ada9a09f4b963ed83,5,1
00df4a56cbc3751ac4754b6ea54a2161,21,4
00e03621fed8c06ec055ef48b7bbff16,4,2
