conversation_id,gap_chain
03fbb0647b9c27a730926a217a5a9978,1
05f15462e49b36deb5b06c5aaa355193,5-2-2-5-1-6-2-5-2
0686f2eeaf598746bcd5a0f50e293484,6-2-3-7-3
08a3f5a79944fa20e8b21ff6452a40c2,2-6-1-1
08f7f5d0ee7dbaa7f2ed119c0108c7ac,9-3-2-9-8-2
096362a90886801f3a1fb246f4024c82,3-2-6
0a671a20e443396c660c4a18f6ddd40e,3
0cb81dc28cfeed194072ef45ca62f640,2-2-2-2-2-2-2-2-2-2
0d45d7bbb84b45033287696234c4defe,5-2-3-2
0d4a251a3172d399951a2f9568548058,3-6-2
0e5b68bbaa382db7a9baf6b5b50fe717,2
1445f776b3ae46390d93e99c0cb9225a,6
163d0f28ef49ef952f3cc99087e67a9a,2-2-2-2
1757a5a4ee703762fa8512383403922c,3
18366fe9f2c832198a4216d677b675f4,6-1
18f9af4412a7bb7a4fcb548e2c70b957,2
1b66120a1951583cab44991a95326899,6-7
1bd93e5f0eec78d328d0a75a2d987b25,1
1c40a02c002ce66a939a7a2cd3f04bdf,6-6-3-3-7-7-3-6-7-3-7-8-7
1d55632c05c0778e21adba559231e9a7,2-3-6-3-2-2
1e8b6b86cb301c1e7b69048b4bf33578,4
1e903d0981a324dc7886b2d6e5559e89,2-5-6-3
2080d7be9aa766e84efe2b777a7292a7,1
214202e327b5cc887f3b458e5aa1be5d,9
22d66147c791bee01fcab36e6b3beabc,2-4-4-4
247d6cc51bd13af8868a1cc8eddcd265,3-5-2-6-5-5-5-5-1-1
24ef225541afabbb978dc7922a665862,8-7
2522b5b4e80086215ca0bef75b1070d4,2-2-2-2-6-6-8-9-2-8-2-6
258145ea1ceb9d4b2a7aa35431811067,6
258806abc1056ba8b365d4e9baf665f4,7-6
26ee58442fc13e636196e2de320f59d7,8
2751e405697623e243107ccde17399b7,1-1-1
2761546fafe579bf61c0c58400cc7efd,2
2a021fd9695a7e9b75317301a94b8509,2-2-3-3-6
2ae6d5f4ace059fcba2e4e2a1c353415,2-2-6
2c39ba3c4143390cc42b67dac252db7d,2-6
2c4c901ed1350c36203a89aa80052ea9,3
2d240c6be6745c93b8c630a5df14fb95,1-1-1-2
2fe08a471d05b2b23c78064a996a59be,2
30e90bcff337648cbece08b6110f735d,3
324d60cf0c1a583e30f1dde368b9ba38,1-6-6-2
3490765650b98aca00c9fcb5d193eef4,1
3547077af8696a24651cb0cdfe5fb949,2-2-2-2-3-2-6-2-6-9-2-2-2-2-3-11-2-2-2
357e5c0ad38f2b6ea4eb8393fe8593e7,2
3640a4877f768ea917c8d237baa6ab45,3-3-2-1
377a2905a6bd09ef1f05be1a9a775491,3-3-6-3-3-3-4
37aff251db71931dbc0782969ae25b21,2-2
