language,turn,q1,median,q3,whisker_low,whisker_high,mean,std,count
python,1,2.0,3.0,5.0,1,9.5,3.6891144952058657,2.376971667677986,8865
python,2,2.0,3.0,5.0,1,9.5,3.7925593329057086,2.3887046696661756,7795
python,3,2.0,3.0,5.0,1,9.5,3.7471085409252667,2.3355837822431527,4496
python,4,2.0,3.0,5.0,1,9.5,3.7032236623462946,2.3154357075816026,3009
python,5,2.0,3.0,5.0,1,9.5,3.701737451737452,2.2790037264389156,2072
python,6,2.0,3.0,5.0,1,9.5,3.7064917127071824,2.359338295938652,1448
javascript,1,1.0,1.0,2.0,1,3.5,1.372305682560418,0.5211313629151695,1531
javascript,2,1.0,1.0,2.0,1,3.5,1.3734034560480841,0.5450539040637753,1331
javascript,3,1.0,1.0,2.0,1,3.5,1.3794037940379404,0.5280312383864164,738
javascript,4,1.0,1.0,2.0,1,3.5,1.4209354120267261,0.5369285062023755,449
javascript,5,1.0,1.0,2.0,1,3.5,1.4074074074074074,0.5308772477711045,297
javascript,6,1.0,1.0,2.0,1,3.0,1.4375,0.5399521232984879,176
cpp,1,1.0,1.0,1.0,1,1.0,1.3155963302752294,0.7366144114658588,545
cpp,2,1.0,1.0,1.0,1,1.0,1.2859097127222983,0.6113885768054613,731
cpp,3,1.0,1.0,1.0,1,1.0,1.294234592445328,0.6468355150538452,503
cpp,4,1.0,1.0,1.0,1,1.0,1.2758620689655173,0.6376980003071355,319
cpp,5,1.0,1.0,1.0,1,1.0,1.2352941176470589,0.5754922241433255,238
cpp,6,1.0,1.0,1.0,1,1.0,1.275,0.580409338312195,160
cpp,7,1.0,1.0,1.0,1,1.0,1.2264150943396226,0.500622609864966,106
cpp,8,1.0,1.0,1.0,1,1.0,1.125,0.33071891388307384,72
cpp,9,1.0,1.0,1.0,1,1.0,1.2622950819672132,0.5697753179338612,61
cpp,10,1.0,1.0,1.0,1,1.0,1.263157894736842,0.5469634129164876,38
cpp,11,1.0,1.0,1.0,1,1.0,1.2121212121212122,0.4772125984249583,33
cpp,12,1.0,1.0,2.0,1,3.5,1.619047619047619,0.8438116736509215,21
cpp,13,1.0,1.0,1.0,1,1.0,1.2,0.5416025603090641,15
cpp,14,1.0,1.0,1.0,1,1.0,1.368421052631579,0.8085416576703798,19
cpp,15,1.0,1.0,1.0,1,1.0,1.0833333333333333,0.2763853991962833,12
cpp,16,1.0,1.0,1.25,1,1.625,1.25,0.4330127018922193,4
cpp,17,1.0,1.0,1.0,1,1.0,1.0,0.0,8
cpp,18,1.0,1.0,1.0,1,1.0,1.0,0.0,5
cpp,19,1.0,1.5,2.25,1,3.0,1.75,0.82915619758885,4
cpp,20,1.0,1.0,2.0,1,2.0,1.4,0.4898979485566356,5
cpp,21,1.0,1.5,2.0,1,3.0,1.6666666666666667,0.7453559924999299,6
cpp,22,1.0,2.0,2.0,1,2.0,1.5714285714285714,0.4948716593053935,7
cpp,23,1.0,1.5,2.0,1,2.0,1.5,0.5,4
cpp,24,1.0,1.0,1.0,1,1.0,1.0,0.0,2
cpp,25,1.5,2.0,2.5,1,3.0,2.0,1.0,2
cpp,26,1.0,1.0,1.0,1,1.0,1.0,0.0,2
cpp,27,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,29,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,30,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,31,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,33,1.0,1.0,1.0,1,1.0,1.0,0.0,2
cpp,34,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,35,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,36,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,37,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,38,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,39,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,40,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,41,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,42,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,43,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,44,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,45,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,46,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,47,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,48,1.0,1.0,1.0,1,1.0,1.0,0.0,1
cpp,49,1.0,1.0,1.0,1,1.0,1.0,0.0,1
java,1,3.0,5.0,7.0,1,13.0,5.819277108433735,3.4237931182805443,1245
java,2,3.25,5.0,8.0,1,15.125,5.944111776447106,3.270394364733293,1002
java,3,4.0,5.0,7.0,2,11.5,5.909747292418772,3.1740962398372528,554
java,4,3.0,5.0,7.0,2,13.0,5.816091954022989,3.2413589303997776,348
java,5,3.0,5.0,6.0,2,10.5,5.41871921182266,3.0556487842333206,203
java,6,3.0,5.0,7.0,2,13.0,5.527397260273973,3.160534039925332,146
csharp,1,1.0,1.0,3.0,1,6.0,2.61639549436796,2.4982910852647087,1598
csharp,2,1.0,1.0,3.0,1,6.0,2.511173184357542,2.4019634119979867,1432
csharp,3,1.0,1.0,3.0,1,6.0,2.439054726368159,2.341496120343175,804
csharp,4,1.0,1.0,3.0,1,6.0,2.493230174081238,2.4937935748229854,517
csharp,5,1.0,1.0,3.0,1,6.0,2.3922155688622753,2.269044326830765,334
csharp,6,1.0,1.0,3.0,1,6.0,2.29126213592233,2.271097711411797,206
