language,conversation_id,turn,issue_count
python,3d0a86363ee8e8e62ffbda72c467bf31,1,5
python,3d0a86363ee8e8e62ffbda72c467bf31,2,5
python,3d0a86363ee8e8e62ffbda72c467bf31,3,2
python,3d0a86363ee8e8e62ffbda72c467bf31,4,2
python,3d0a86363ee8e8e62ffbda72c467bf31,5,2
python,3d0a86363ee8e8e62ffbda72c467bf31,6,4
python,d8847fc602c0b652a93ea362d05ee0d7,1,1
python,d8847fc602c0b652a93ea362d05ee0d7,2,3
python,d641807ad3a45c02620c61c4497032d7,1,7
python,d641807ad3a45c02620c61c4497032d7,2,5
python,c4fb6ae383e3192174f0426dab705c21,1,3
python,c4fb6ae383e3192174f0426dab705c21,2,3
python,9aa8da52dbe22f496178e5af7d7a1fd2,1,8
python,9aa8da52dbe22f496178e5af7d7a1fd2,2,8
python,9aa8da52dbe22f496178e5af7d7a1fd2,3,7
python,6db52ea05a622b665c81b594a1333dec,1,2
python,6db52ea05a622b665c81b594a1333dec,2,5
python,83db0f2c01795cd95b686985284670fb,1,2
python,83db0f2c01795cd95b686985284670fb,2,2
python,83db0f2c01795cd95b686985284670fb,3,2
python,83db0f2c01795cd95b686985284670fb,4,3
python,83db0f2c01795cd95b686985284670fb,5,4
python,83db0f2c01795cd95b686985284670fb,6,4
python,9397acbb42f5223545d7b0d306597a3d,1,2
python,9397acbb42f5223545d7b0d306597a3d,2,2
python,9397acbb42f5223545d7b0d306597a3d,3,3
python,9397acbb42f5223545d7b0d306597a3d,4,2
python,9397acbb42f5223545d7b0d306597a3d,5,2
python,1cb63d9c94e389446b2f7cd6600e7ed9,1,2
python,1cb63d9c94e389446b2f7cd6600e7ed9,2,2
python,1cb63d9c94e389446b2f7cd6600e7ed9,3,4
python,1cb63d9c94e389446b2f7cd6600e7ed9,4,3
python,510b91cf7d280b2eee3ced0c00768f93,1,3
python,510b91cf7d280b2eee3ced0c00768f93,2,2
python,510b91cf7d280b2eee3ced0c00768f93,3,2
python,510b91cf7d280b2eee3ced0c00768f93,4,2
python,e2fbd576ab2fec4128699ca6c5106a55,1,5
python,e2fbd576ab2fec4128699ca6c5106a55,2,8
python,e2fbd576ab2fec4128699ca6c5106a55,3,6
python,e2fbd576ab2fec4128699ca6c5106a55,4,7
python,e2fbd576ab2fec4128699ca6c5106a55,5,8
python,e2fbd576ab2fec4128699ca6c5106a55,6,10
python,b6a72df9bb80f974f2734798075566eb,1,9
python,b6a72df9bb80f974f2734798075566eb,2,2
python,b6a72df9bb80f974f2734798075566eb,3,8
python,2c1c482a49363aa69c69cb4f0b8765b4,1,11
python,2c1c482a49363aa69c69cb4f0b8765b4,2,3
python,ce1890ff95201a276146d6913a2b5b74,1,2
python,ce1890ff95201a276146d6913a2b5b74,2,2
