Language,Severity,Total_Snippets,Percentage,Mesg
Cpp,Error,733,9.4%,Syntaxerror
Cpp,Error,54,0.7%,Unknownmacro
Cpp,Error,37,0.5%,Missingreturn
Cpp,Warning,26,0.3%,Nooperatoreq
Cpp,Warning,22,0.3%,Nocopyconstructor
Cpp,Warning,17,0.2%,Uninitmembervar
Cpp,Performance,99,1.3%,Functionstatic
Cpp,Performance,84,1.1%,Passedbyvalue
Cpp,Performance,20,0.3%,Useinitializationlist
Cpp,Portability,2,0.0%,Shifttoomanybitssigned
Cpp,Portability,1,0.0%,Arithoperationsonvoidpointer
Cpp,Style,"1,382",17.8%,Unusedfunction
Cpp,Style,199,2.6%,Noexplicitconstructor
Cpp,Style,175,2.2%,Unreadvariable
Cpp,Information,"3,196",41.0%,Missingincludesystem
Cpp,Information,517,6.6%,Missinginclude
Cpp,Information,3,0.0%,Configurationnotchecked
