conversation_id,turn_number,snippet_number,role,language,severity,issue_id,message,line,column
ed5bb6d2aac1bbe3b430a4955c74fd1d,1,1,assistant,javascript,error,no-undef,'polygon' is not defined.,2,1
ed5bb6d2aac1bbe3b430a4955c74fd1d,1,1,assistant,javascript,error,no-undef,'polygon' is not defined.,4,7
ed5bb6d2aac1bbe3b430a4955c74fd1d,1,1,assistant,javascript,error,no-undef,'polygonClicked' is not defined.,15,3
ed5bb6d2aac1bbe3b430a4955c74fd1d,1,1,assistant,javascript,error,no-undef,'money' is not defined.,17,7
ed5bb6d2aac1bbe3b430a4955c74fd1d,1,1,assistant,javascript,error,no-undef,'polygon' is not defined.,19,5
ed5bb6d2aac1bbe3b430a4955c74fd1d,1,1,assistant,javascript,error,no-undef,'money' is not defined.,24,5
ed5bb6d2aac1bbe3b430a4955c74fd1d,1,1,assistant,javascript,error,no-undef,'dailybonus' is not defined.,25,5
ed5bb6d2aac1bbe3b430a4955c74fd1d,1,1,assistant,javascript,error,no-undef,'money' is not defined.,28,29
ed5bb6d2aac1bbe3b430a4955c74fd1d,1,1,assistant,javascript,error,no-undef,'dailybonus' is not defined.,31,43
ed5bb6d2aac1bbe3b430a4955c74fd1d,2,1,assistant,javascript,error,no-undef,'polygon' is not defined.,1,1
ed5bb6d2aac1bbe3b430a4955c74fd1d,2,1,assistant,javascript,error,no-undef,'polygon' is not defined.,2,7
ed5bb6d2aac1bbe3b430a4955c74fd1d,2,1,assistant,javascript,error,no-undef,'polygonClicked' is not defined.,11,3
ed5bb6d2aac1bbe3b430a4955c74fd1d,2,1,assistant,javascript,error,no-undef,'money' is not defined.,13,7
ed5bb6d2aac1bbe3b430a4955c74fd1d,2,1,assistant,javascript,error,no-undef,'polygon' is not defined.,14,5
ed5bb6d2aac1bbe3b430a4955c74fd1d,2,1,assistant,javascript,error,no-undef,'money' is not defined.,19,5
ed5bb6d2aac1bbe3b430a4955c74fd1d,2,1,assistant,javascript,error,no-undef,'dailybonus' is not defined.,20,5
ed5bb6d2aac1bbe3b430a4955c74fd1d,2,1,assistant,javascript,error,no-undef,'money' is not defined.,23,29
ed5bb6d2aac1bbe3b430a4955c74fd1d,2,1,assistant,javascript,error,no-undef,'dailybonus' is not defined.,26,43
ed5bb6d2aac1bbe3b430a4955c74fd1d,3,1,assistant,javascript,error,no-undef,'polygon' is not defined.,1,1
ed5bb6d2aac1bbe3b430a4955c74fd1d,3,1,assistant,javascript,error,no-undef,'polygon' is not defined.,2,7
ed5bb6d2aac1bbe3b430a4955c74fd1d,3,1,assistant,javascript,error,no-undef,'polygonClicked' is not defined.,13,3
ed5bb6d2aac1bbe3b430a4955c74fd1d,3,1,assistant,javascript,error,no-undef,'money' is not defined.,15,7
ed5bb6d2aac1bbe3b430a4955c74fd1d,3,1,assistant,javascript,error,no-undef,'polygon' is not defined.,16,5
ed5bb6d2aac1bbe3b430a4955c74fd1d,3,1,assistant,javascript,error,no-undef,'money' is not defined.,21,5
ed5bb6d2aac1bbe3b430a4955c74fd1d,3,1,assistant,javascript,error,no-undef,'dailybonus' is not defined.,22,5
ed5bb6d2aac1bbe3b430a4955c74fd1d,3,1,assistant,javascript,error,no-undef,'money' is not defined.,25,29
ed5bb6d2aac1bbe3b430a4955c74fd1d,3,1,assistant,javascript,error,no-undef,'dailybonus' is not defined.,28,43
6d9db6207c19baebf3501615557f27f2,1,1,assistant,javascript,error,no-undef,'ee' is not defined.,3,14
6d9db6207c19baebf3501615557f27f2,1,1,assistant,javascript,error,no-undef,'ee' is not defined.,7,15
6d9db6207c19baebf3501615557f27f2,1,1,assistant,javascript,error,no-undef,'ee' is not defined.,8,17
6d9db6207c19baebf3501615557f27f2,1,1,assistant,javascript,error,no-undef,'ee' is not defined.,9,12
6d9db6207c19baebf3501615557f27f2,1,1,assistant,javascript,error,no-undef,'ee' is not defined.,9,26
6d9db6207c19baebf3501615557f27f2,1,1,assistant,javascript,error,no-undef,'ee' is not defined.,9,43
6d9db6207c19baebf3501615557f27f2,1,1,assistant,javascript,error,no-undef,'ee' is not defined.,13,40
6d9db6207c19baebf3501615557f27f2,1,1,assistant,javascript,error,no-undef,'ee' is not defined.,16,21
6d9db6207c19baebf3501615557f27f2,1,1,assistant,javascript,error,no-undef,'ee' is not defined.,17,12
6d9db6207c19baebf3501615557f27f2,1,1,assistant,javascript,error,no-undef,'ee' is not defined.,19,12
6d9db6207c19baebf3501615557f27f2,1,1,assistant,javascript,error,no-undef,'frequency' is not defined.,29,15
6d9db6207c19baebf3501615557f27f2,2,1,assistant,javascript,error,no-undef,'ee' is not defined.,3,14
6d9db6207c19baebf3501615557f27f2,2,1,assistant,javascript,error,no-undef,'ee' is not defined.,10,17
6d9db6207c19baebf3501615557f27f2,2,1,assistant,javascript,error,no-undef,'frequency' is not defined.,22,15
b6e08efe5bece9e63eac32bede9af22f,2,1,assistant,javascript,error,no-undef,'movable' is not defined.,1,1
b6e08efe5bece9e63eac32bede9af22f,2,1,assistant,javascript,error,no-undef,'moveX' is not defined.,1,40
b6e08efe5bece9e63eac32bede9af22f,2,1,assistant,javascript,error,no-undef,'moveY' is not defined.,1,52
