conversation_id,turn_number,snippet_number,role,language,score
ed5bb6d2aac1bbe3b430a4955c74fd1d,1,1,assistant,javascript,10
ed5bb6d2aac1bbe3b430a4955c74fd1d,2,1,assistant,javascript,10
ed5bb6d2aac1bbe3b430a4955c74fd1d,3,1,assistant,javascript,10
6d9db6207c19baebf3501615557f27f2,1,1,assistant,javascript,0
6d9db6207c19baebf3501615557f27f2,2,1,assistant,javascript,70
d7f8e3cef73c210e0ad6e6c7a5ab820a,1,1,assistant,javascript,100
d7f8e3cef73c210e0ad6e6c7a5ab820a,2,1,assistant,javascript,100
b6e08efe5bece9e63eac32bede9af22f,1,1,assistant,javascript,100
b6e08efe5bece9e63eac32bede9af22f,2,1,assistant,javascript,70
b6e08efe5bece9e63eac32bede9af22f,3,1,assistant,javascript,90
b6e08efe5bece9e63eac32bede9af22f,4,1,assistant,javascript,100
b6e08efe5bece9e63eac32bede9af22f,5,1,assistant,javascript,100
b6e08efe5bece9e63eac32bede9af22f,6,1,assistant,javascript,100
129ebd8787e8eb899a9eccfa2f3b16a2,1,1,assistant,javascript,70
129ebd8787e8eb899a9eccfa2f3b16a2,2,1,assistant,javascript,70
129ebd8787e8eb899a9eccfa2f3b16a2,3,1,assistant,javascript,100
129ebd8787e8eb899a9eccfa2f3b16a2,4,1,assistant,javascript,100
129ebd8787e8eb899a9eccfa2f3b16a2,5,1,assistant,javascript,90
f6d76a39370546fb686d1e63551c14cc,1,1,assistant,javascript,100
f6d76a39370546fb686d1e63551c14cc,2,1,assistant,javascript,100
f6d76a39370546fb686d1e63551c14cc,3,1,assistant,javascript,100
f6d76a39370546fb686d1e63551c14cc,4,1,assistant,javascript,100
f6d76a39370546fb686d1e63551c14cc,5,1,assistant,javascript,100
f6d76a39370546fb686d1e63551c14cc,6,1,assistant,javascript,100
f045f6e194757e4f5a55679fc35ec32b,1,1,assistant,javascript,60
f045f6e194757e4f5a55679fc35ec32b,2,1,assistant,javascript,80
f045f6e194757e4f5a55679fc35ec32b,3,1,assistant,javascript,20
521859d8832fb9c539719b5c6afe82e3,1,1,assistant,javascript,60
521859d8832fb9c539719b5c6afe82e3,2,1,assistant,javascript,60
521859d8832fb9c539719b5c6afe82e3,3,1,assistant,javascript,60
521859d8832fb9c539719b5c6afe82e3,4,1,assistant,javascript,60
521859d8832fb9c539719b5c6afe82e3,5,1,assistant,javascript,70
c5f8994cddbee73dd84b5f869036fbb2,1,1,assistant,javascript,90
c5f8994cddbee73dd84b5f869036fbb2,2,1,assistant,javascript,90
c5f8994cddbee73dd84b5f869036fbb2,3,1,assistant,javascript,90
0f7431549ab2973a614ff16bba19c384,1,1,assistant,javascript,50
0f7431549ab2973a614ff16bba19c384,2,1,assistant,javascript,50
0f7431549ab2973a614ff16bba19c384,3,1,assistant,javascript,50
32973511592c5fbd3f18c6a70c4cf6c0,1,1,assistant,javascript,70
32973511592c5fbd3f18c6a70c4cf6c0,2,1,assistant,javascript,20
32973511592c5fbd3f18c6a70c4cf6c0,3,1,assistant,javascript,70
429913467a1153ad6acf886947908de2,1,1,assistant,javascript,100
429913467a1153ad6acf886947908de2,2,1,assistant,javascript,80
429913467a1153ad6acf886947908de2,3,1,assistant,javascript,80
429913467a1153ad6acf886947908de2,4,1,assistant,javascript,100
8573f29dee1a4c41f251ed04bcd265e8,1,1,assistant,javascript,100
cd0972d2eb90ced49d4c5142ec838917,1,1,assistant,javascript,100
cd0972d2eb90ced49d4c5142ec838917,2,1,assistant,javascript,100
cd0972d2eb90ced49d4c5142ec838917,3,1,assistant,javascript,100
67327581159fa8c089cc5f991dfaf2c5,1,1,assistant,javascript,0
67327581159fa8c089cc5f991dfaf2c5,2,1,assistant,javascript,20
67327581159fa8c089cc5f991dfaf2c5,3,1,assistant,javascript,60
a9f77420e0b82dc9f66800bc2f4e7621,1,1,assistant,javascript,30
a9f77420e0b82dc9f66800bc2f4e7621,2,1,assistant,javascript,20
a9f77420e0b82dc9f66800bc2f4e7621,3,1,assistant,javascript,30
fb7abaf3b1a9303a4167c2d774f124ef,1,1,assistant,javascript,100
b0620b3d2602f280ae884aa9a9d0356d,1,1,assistant,javascript,100
b0620b3d2602f280ae884aa9a9d0356d,2,1,assistant,javascript,100
b0620b3d2602f280ae884aa9a9d0356d,3,1,assistant,javascript,100
6a1ec907ed1762f28ef6c5ab38d7b9e7,1,1,assistant,javascript,70
6a1ec907ed1762f28ef6c5ab38d7b9e7,2,1,assistant,javascript,70
6a1ec907ed1762f28ef6c5ab38d7b9e7,3,1,assistant,javascript,100
6a1ec907ed1762f28ef6c5ab38d7b9e7,4,1,assistant,javascript,100
d199e224739030683d4e7c4aea020ad4,1,1,assistant,javascript,100
d199e224739030683d4e7c4aea020ad4,2,1,assistant,javascript,100
bda7b1b5ebf5df84905e1a489092cf08,1,1,assistant,javascript,90
bda7b1b5ebf5df84905e1a489092cf08,2,1,assistant,javascript,80
