conversation_id,turn_number,role,language,information_count,performance_count,style_count,error_count,loc,total_issues,issue_density_per_kloc
001230e8c0cf0bf3a81eb80c7f348441,1,assistant,cpp,1,0,0,0,23,1,43.48
001230e8c0cf0bf3a81eb80c7f348441,2,assistant,cpp,0,0,0,0,5,0,0.0
00252ae88b85cf829b715c1bb1587b71,1,assistant,cpp,0,0,0,0,49,0,0.0
00252ae88b85cf829b715c1bb1587b71,5,undefined,undefined,0,0,2,0,0,2,0
00335310ca92eb880a31c935c278ee20,1,assistant,cpp,1,0,0,0,30,1,33.33
00335310ca92eb880a31c935c278ee20,2,assistant,cpp,1,0,0,0,37,1,27.03
00552c65b9dec114620640fcf01ea7d1,1,assistant,cpp,1,0,2,0,53,3,56.6
00552c65b9dec114620640fcf01ea7d1,2,assistant,cpp,1,0,1,0,61,2,32.79
00dd0175aa4865992c354eceed7807e9,1,assistant,cpp,0,0,0,1,46,1,21.74
00dd0175aa4865992c354eceed7807e9,2,assistant,cpp,0,0,0,0,25,0,0.0
00dd4985cd085501e3b276fea12df62e,1,assistant,cpp,0,0,0,0,18,0,0.0
00dd4985cd085501e3b276fea12df62e,3,undefined,undefined,1,0,1,0,0,2,0
00e220a9e08c1324f742291a5b6d2452,1,assistant,cpp,1,0,0,1,10,2,200.0
00e220a9e08c1324f742291a5b6d2452,2,assistant,cpp,1,0,1,0,28,2,71.43
00e220a9e08c1324f742291a5b6d2452,3,assistant,cpp,1,0,1,0,29,2,68.97
00e220a9e08c1324f742291a5b6d2452,4,assistant,cpp,1,0,0,0,24,1,41.67
0118aa7fd8491ffe74b0b40ec5b21daa,1,assistant,cpp,1,0,1,0,45,2,44.44
0118aa7fd8491ffe74b0b40ec5b21daa,2,assistant,cpp,1,0,0,0,59,1,16.95
0118aa7fd8491ffe74b0b40ec5b21daa,3,assistant,cpp,0,0,2,0,37,2,54.05
0118aa7fd8491ffe74b0b40ec5b21daa,4,assistant,cpp,1,0,0,0,44,1,22.73
0156943a01daf38901b7b87fd9e07e13,1,assistant,cpp,0,0,0,0,22,0,0.0
0156943a01daf38901b7b87fd9e07e13,2,assistant,cpp,0,0,0,0,39,0,0.0
0156943a01daf38901b7b87fd9e07e13,3,assistant,cpp,1,0,0,0,38,1,26.32
0156943a01daf38901b7b87fd9e07e13,4,assistant,cpp,1,0,1,0,38,2,52.63
0156943a01daf38901b7b87fd9e07e13,5,assistant,cpp,1,0,1,0,42,2,47.62
0156943a01daf38901b7b87fd9e07e13,6,assistant,cpp,1,0,1,0,38,2,52.63
0156943a01daf38901b7b87fd9e07e13,7,assistant,cpp,1,0,1,0,7,2,285.71
0156943a01daf38901b7b87fd9e07e13,8,assistant,cpp,1,0,1,0,25,2,80.0
0156943a01daf38901b7b87fd9e07e13,9,assistant,cpp,0,0,0,0,7,0,0.0
0156943a01daf38901b7b87fd9e07e13,10,assistant,cpp,0,0,1,0,43,1,23.26
0156943a01daf38901b7b87fd9e07e13,11,assistant,cpp,0,0,0,0,69,0,0.0
0156943a01daf38901b7b87fd9e07e13,12,assistant,cpp,1,0,2,0,51,3,58.82
0156943a01daf38901b7b87fd9e07e13,13,undefined,undefined,1,0,1,0,0,2,0
0156943a01daf38901b7b87fd9e07e13,14,undefined,undefined,1,0,1,0,0,2,0
01654cc42954e929a6dfc3f7b661f62c,1,assistant,cpp,0,0,0,0,32,0,0.0
01654cc42954e929a6dfc3f7b661f62c,2,assistant,cpp,1,1,0,0,35,2,57.14
01654cc42954e929a6dfc3f7b661f62c,3,assistant,cpp,1,1,0,0,35,2,57.14
01654cc42954e929a6dfc3f7b661f62c,4,assistant,cpp,0,0,0,0,12,0,0.0
01654cc42954e929a6dfc3f7b661f62c,5,undefined,undefined,1,0,0,0,0,1,0
01654cc42954e929a6dfc3f7b661f62c,7,undefined,undefined,1,0,0,0,0,1,0
017af57b1d15cd6cd23c828e3435912d,1,assistant,cpp,1,0,0,0,63,1,15.87
017af57b1d15cd6cd23c828e3435912d,2,assistant,cpp,0,0,0,0,80,0,0.0
017af57b1d15cd6cd23c828e3435912d,3,undefined,undefined,1,0,0,0,0,1,0
0195b26fc0159cbb70fb121a3e0114d3,1,assistant,cpp,0,0,0,0,18,0,0.0
0195b26fc0159cbb70fb121a3e0114d3,2,assistant,cpp,0,0,0,0,25,0,0.0
0195b26fc0159cbb70fb121a3e0114d3,3,assistant,cpp,1,0,0,0,16,1,62.5
0195b26fc0159cbb70fb121a3e0114d3,4,undefined,undefined,1,0,0,0,0,1,0
0195b26fc0159cbb70fb121a3e0114d3,5,undefined,undefined,1,0,0,0,0,1,0
01bfa3ef1125e328086a197af112fe44,1,assistant,cpp,0,0,0,1,74,1,13.51
01bfa3ef1125e328086a197af112fe44,2,assistant,cpp,0,0,0,1,81,1,12.35
01d1e3772cb83d8b717bd9e5770633c9,1,assistant,cpp,0,0,0,0,32,0,0.0
01d1e3772cb83d8b717bd9e5770633c9,2,assistant,cpp,0,0,0,0,25,0,0.0
01d1e3772cb83d8b717bd9e5770633c9,4,undefined,undefined,1,0,0,0,0,1,0
01d1e3772cb83d8b717bd9e5770633c9,5,undefined,undefined,1,0,0,0,0,1,0
01dcd1afb057cb2957ace79a1b95a343,1,assistant,cpp,1,1,1,0,65,3,46.15
01dcd1afb057cb2957ace79a1b95a343,2,assistant,cpp,1,1,1,0,66,3,45.45
01ef401504f7eb39482a00edc517f817,1,assistant,cpp,1,0,1,0,16,2,125.0
01ef401504f7eb39482a00edc517f817,2,assistant,cpp,0,0,0,0,14,0,0.0
0205b2f47dc205b3f9986f9eed705693,1,assistant,cpp,1,0,0,0,25,1,40.0
0205b2f47dc205b3f9986f9eed705693,2,assistant,cpp,1,0,0,0,31,1,32.26
022dc526fb5fe94f6d4421641bf07877,1,assistant,cpp,0,0,0,0,4,0,0.0
022dc526fb5fe94f6d4421641bf07877,2,assistant,cpp,0,0,0,0,2,0,0.0
022dc526fb5fe94f6d4421641bf07877,3,assistant,cpp,0,0,0,0,11,0,0.0
022dc526fb5fe94f6d4421641bf07877,4,assistant,cpp,0,0,0,0,16,0,0.0
022dc526fb5fe94f6d4421641bf07877,5,assistant,cpp,0,0,0,0,18,0,0.0
022dc526fb5fe94f6d4421641bf07877,6,assistant,cpp,0,0,0,1,11,1,90.91
02456aabe948836fe5ac2fe30f146726,1,assistant,cpp,1,0,0,0,61,1,16.39
02456aabe948836fe5ac2fe30f146726,2,assistant,cpp,1,0,0,0,56,1,17.86
02456aabe948836fe5ac2fe30f146726,3,assistant,cpp,0,0,0,0,108,0,0.0
02456aabe948836fe5ac2fe30f146726,4,assistant,cpp,1,0,1,0,8,2,250.0
02456aabe948836fe5ac2fe30f146726,5,assistant,cpp,0,0,0,0,29,0,0.0
02456aabe948836fe5ac2fe30f146726,6,assistant,cpp,1,0,0,0,7,1,142.86
0277698c6a0b388ac2c38b1fc7badf30,1,assistant,cpp,0,0,0,0,24,0,0.0
0277698c6a0b388ac2c38b1fc7badf30,2,assistant,cpp,1,0,0,0,57,1,17.54
0277698c6a0b388ac2c38b1fc7badf30,3,assistant,cpp,0,0,0,0,3,0,0.0
