conversation_id,turn_number,role,language,critical_issues_count,high_issues_count,medium_issues_count,low_issues_count,very_minor_issues_count
896a94923c30c73a446492dcde84945d,1,assistant,java,0,1,3,0,0
896a94923c30c73a446492dcde84945d,2,assistant,java,0,1,4,0,0
896a94923c30c73a446492dcde84945d,3,assistant,java,0,0,5,0,0
896a94923c30c73a446492dcde84945d,4,assistant,java,1,1,5,0,0
896a94923c30c73a446492dcde84945d,5,assistant,java,0,1,4,0,0
422b99aab8f3ba56b2864e2ec6054792,1,assistant,java,0,1,7,1,0
422b99aab8f3ba56b2864e2ec6054792,2,assistant,java,0,1,6,1,0
422b99aab8f3ba56b2864e2ec6054792,3,assistant,java,0,1,6,1,0
5c7b2f18c081d50d5b5fb5ebffb58d35,1,assistant,java,0,1,4,1,0
5c7b2f18c081d50d5b5fb5ebffb58d35,2,assistant,java,0,1,5,1,0
e1e44ce83cec2f2f08ad0c299f0cd111,1,assistant,java,0,1,12,1,0
e1e44ce83cec2f2f08ad0c299f0cd111,2,assistant,java,0,1,12,1,0
e1e44ce83cec2f2f08ad0c299f0cd111,3,assistant,java,0,1,13,2,0
e1e44ce83cec2f2f08ad0c299f0cd111,4,assistant,java,0,1,11,2,0
e1e44ce83cec2f2f08ad0c299f0cd111,5,assistant,java,0,1,11,2,0
99280f0e57d354c120b063b6ce0a8bef,1,assistant,java,0,1,5,0,0
99280f0e57d354c120b063b6ce0a8bef,2,assistant,java,0,0,4,0,0
ff50bec2a35032a39d23582d9c667f68,1,assistant,java,0,0,3,0,0
ff50bec2a35032a39d23582d9c667f68,4,assistant,java,1,0,11,0,0
ff50bec2a35032a39d23582d9c667f68,5,assistant,java,0,0,7,1,0
ff50bec2a35032a39d23582d9c667f68,6,assistant,java,0,0,7,1,0
1331d81600f3a7ff7d21fe6ce9cf1707,1,assistant,java,0,1,7,0,0
1331d81600f3a7ff7d21fe6ce9cf1707,2,assistant,java,0,1,7,0,0
4c5b97d0497a6e0f95eea922e833799e,1,assistant,java,0,0,3,0,0
4c5b97d0497a6e0f95eea922e833799e,2,assistant,java,0,0,4,0,0
1f53ed72d4d8af0859bc445f6d3673ca,3,assistant,java,0,1,8,0,0
1f53ed72d4d8af0859bc445f6d3673ca,4,assistant,java,0,1,4,1,0
b2d8e233145e2c7405700bdf2880ed26,1,assistant,java,0,0,7,0,0
0506ce4aa61d7691b71498832f36eb3c,1,assistant,java,0,1,6,0,0
0506ce4aa61d7691b71498832f36eb3c,2,assistant,java,0,1,8,1,0
0506ce4aa61d7691b71498832f36eb3c,3,assistant,java,0,1,7,0,0
1747a06676db0965ac9adee87a0d82b1,2,assistant,java,0,1,9,0,0
30d7783721ec96717de674ede0ac7770,1,assistant,java,0,1,3,0,0
451275b27465d7b57e402076c0ec0269,1,assistant,java,0,0,2,0,0
451275b27465d7b57e402076c0ec0269,2,assistant,java,0,0,2,0,0
60d0c43479a59306d57d8509ccd2c73c,1,assistant,java,0,0,2,0,0
60d0c43479a59306d57d8509ccd2c73c,2,assistant,java,0,0,2,0,0
6d821b240f2e7e726b31301e3b772df1,1,assistant,java,0,0,6,1,0
6d821b240f2e7e726b31301e3b772df1,2,assistant,java,0,0,7,1,0
8d4d402123f1391b6259b60dc07b1177,1,assistant,java,0,0,9,0,0
8d4d402123f1391b6259b60dc07b1177,2,assistant,java,0,0,12,0,0
7b621d6afea899dfb0bb8bf8580b5f0b,1,assistant,java,0,0,8,0,0
7b621d6afea899dfb0bb8bf8580b5f0b,2,assistant,java,0,0,7,0,0
7b621d6afea899dfb0bb8bf8580b5f0b,3,assistant,java,0,0,7,0,0
36cd3e03a9a6fcf3483f7261fc0ed26f,1,assistant,java,0,0,6,0,0
36cd3e03a9a6fcf3483f7261fc0ed26f,2,assistant,java,0,0,5,0,0
36cd3e03a9a6fcf3483f7261fc0ed26f,3,assistant,java,0,0,7,0,0
7d391017f59d5fe57c50ab094d9cc859,1,assistant,java,0,0,4,0,0
7d391017f59d5fe57c50ab094d9cc859,2,assistant,java,0,0,4,0,0
76b1c13c1063138853fe2b1448f667cc,1,assistant,java,0,1,8,2,0
76b1c13c1063138853fe2b1448f667cc,2,assistant,java,0,1,8,2,0
76b1c13c1063138853fe2b1448f667cc,3,assistant,java,0,1,8,2,0
dd81f778423fdc3eddacb1b02638296a,1,assistant,java,0,0,2,0,0
dd81f778423fdc3eddacb1b02638296a,2,assistant,java,0,1,4,1,0
4b4597e2dd3270d098f9f6b5791327c7,2,assistant,java,0,0,4,0,0
35ab19451ff8c48ca9ab439f300daa78,1,assistant,java,0,0,7,1,0
35ab19451ff8c48ca9ab439f300daa78,2,assistant,java,0,0,9,1,0
29bbe31d1e283b964849fa7b3405296f,1,assistant,java,1,0,8,0,0
29bbe31d1e283b964849fa7b3405296f,2,assistant,java,1,0,11,0,0
9119966daf1f2af5f4b9a9c3fd9bf2cc,1,assistant,java,0,0,6,0,0
9119966daf1f2af5f4b9a9c3fd9bf2cc,2,assistant,java,0,0,8,0,0
9119966daf1f2af5f4b9a9c3fd9bf2cc,3,assistant,java,0,0,7,0,0
cbb9e294edd3a1d991a871b5a55dde8c,1,assistant,java,1,0,9,1,0
cbb9e294edd3a1d991a871b5a55dde8c,2,assistant,java,1,0,8,0,0
cbb9e294edd3a1d991a871b5a55dde8c,3,assistant,java,1,0,8,1,0
