conversation_id,turn_number,total_issues
0026b08637be5e9b48b9559c81b00013,1,2
0026b08637be5e9b48b9559c81b00013,2,2
004c616e2c1aaac094548e25e62e5866,1,1
004c616e2c1aaac094548e25e62e5866,2,2
00813d9c8b00233a2bffb9add456257e,1,1
00813d9c8b00233a2bffb9add456257e,2,1
00904030aa271273f0c35a0ced1563fa,1,2
00904030aa271273f0c35a0ced1563fa,2,6
00904030aa271273f0c35a0ced1563fa,3,1
00ad84fbc9db447e5cd30fc8cdb74c2d,1,1
00ad84fbc9db447e5cd30fc8cdb74c2d,2,1
00d63f1853b5c32a0cf103523802d65a,1,2
00d63f1853b5c32a0cf103523802d65a,2,2
00d63f1853b5c32a0cf103523802d65a,3,2
00d63f1853b5c32a0cf103523802d65a,4,2
00d63f1853b5c32a0cf103523802d65a,5,1
00d63f1853b5c32a0cf103523802d65a,6,1
0102651658968b6d7436b90d8009450a,1,2
013801bab95dcf411db42fcf49014963,1,1
013801bab95dcf411db42fcf49014963,2,10
0145e2589d0a7553713373b9997f8454,1,1
0145e2589d0a7553713373b9997f8454,2,1
0145e2589d0a7553713373b9997f8454,3,1
015429765399b2d99662462f8f4c1bcf,1,4
0189feb3420aad71a28f404ab52e4de7,1,1
0189feb3420aad71a28f404ab52e4de7,2,1
01993d179e9a0c45e91076a4ff3e4429,1,1
01993d179e9a0c45e91076a4ff3e4429,2,1
01993d179e9a0c45e91076a4ff3e4429,3,1
0199e6810b6df3c731101c8491621da6,1,1
0199e6810b6df3c731101c8491621da6,2,1
01e5430ec7114510d74e1864e861d445,1,4
01e5430ec7114510d74e1864e861d445,2,4
01e5430ec7114510d74e1864e861d445,3,5
022d41a0153f511e473f5a68220e863a,1,2
022d41a0153f511e473f5a68220e863a,2,2
023244fc653ff0537e1005d33720d8f3,1,1
023244fc653ff0537e1005d33720d8f3,2,1
023244fc653ff0537e1005d33720d8f3,3,1
023244fc653ff0537e1005d33720d8f3,4,1
0268fce5583724822cba19b54c353431,1,2
0268fce5583724822cba19b54c353431,2,1
0268fce5583724822cba19b54c353431,3,2
0268fce5583724822cba19b54c353431,4,2
02aaa1c7c7b050fbbeafaded26b40ea8,1,3
02aaa1c7c7b050fbbeafaded26b40ea8,2,3
02aaa1c7c7b050fbbeafaded26b40ea8,3,3
02aaa1c7c7b050fbbeafaded26b40ea8,4,3
02aaa1c7c7b050fbbeafaded26b40ea8,5,3
02aaa1c7c7b050fbbeafaded26b40ea8,6,3
02ccef8b5e2a193da45e156a64b85cb5,1,6
02e38badcf92d9045877175963da84fe,1,2
02e38badcf92d9045877175963da84fe,2,1
02e38badcf92d9045877175963da84fe,3,3
02e38badcf92d9045877175963da84fe,4,1
02fe69cdbe02aae84b93e10ae21a3254,1,3
02fe69cdbe02aae84b93e10ae21a3254,2,4
030ed5b8beb3a81093d2405c541aaf1a,1,1
0373fafb67bf68269a0d8bdd624de8fe,1,1
0373fafb67bf68269a0d8bdd624de8fe,2,1
03baab83446aff586ceb45afffde7b1b,1,1
03d468a67ac21413686aaf56104e2898,1,1
03d468a67ac21413686aaf56104e2898,2,1
040d4238c2e8183c3ee43acf9360ea6a,1,3
040d4238c2e8183c3ee43acf9360ea6a,2,2
040d4238c2e8183c3ee43acf9360ea6a,3,1
040d4238c2e8183c3ee43acf9360ea6a,4,2
041ce09e980edfdcf69995c404533190,1,5
046b247c1155b1b12139f4cadf038164,1,4
046b247c1155b1b12139f4cadf038164,2,4
046b247c1155b1b12139f4cadf038164,3,3
046b247c1155b1b12139f4cadf038164,4,4
049d00675eff4d0fc35d767fce726042,1,1
049d00675eff4d0fc35d767fce726042,2,1
04cdfc1d96bc2bd3c9f2434f9406847a,1,4
04cdfc1d96bc2bd3c9f2434f9406847a,2,4
04df1e085f4842f772261ab585b30342,1,3
04df1e085f4842f772261ab585b30342,2,3
04df1e085f4842f772261ab585b30342,3,3
04df1e085f4842f772261ab585b30342,4,3
04f080d545e5293a36ce468ae14eb457,1,3
057c54856a894d64816bbbc8342b7880,1,1
057c54856a894d64816bbbc8342b7880,2,1
057c54856a894d64816bbbc8342b7880,3,1
057c54856a894d64816bbbc8342b7880,4,1
057c54856a894d64816bbbc8342b7880,5,1
057c54856a894d64816bbbc8342b7880,6,1
059593b58a996cb8b42164b426acbdec,1,1
059593b58a996cb8b42164b426acbdec,2,3
05d037140d9fb59c86cc0856f0415028,1,3
05d037140d9fb59c86cc0856f0415028,2,3
05e0fae5540ed9a00f30f9edc7df1c49,1,1
05e0fae5540ed9a00f30f9edc7df1c49,2,1
05e0fae5540ed9a00f30f9edc7df1c49,3,1
064cec0ddfd2d55a64d993a77321c6a7,1,2
064cec0ddfd2d55a64d993a77321c6a7,2,2
064cec0ddfd2d55a64d993a77321c6a7,3,2
064cec0ddfd2d55a64d993a77321c6a7,4,1
064cec0ddfd2d55a64d993a77321c6a7,5,8
064cec0ddfd2d55a64d993a77321c6a7,6,1
06a52b3d80e3fb8da4ca533b2f41d414,1,1
06a52b3d80e3fb8da4ca533b2f41d414,2,1
06aa854b939b332b4463fc8e407835ef,1,3
06aa854b939b332b4463fc8e407835ef,2,3
06aa854b939b332b4463fc8e407835ef,3,2
06e5c82459ae653b4a34e008ebb005cb,1,6
06e5c82459ae653b4a34e008ebb005cb,2,7
07184f33a9d3e03c403709efe5ae07d0,1,1
0739d37bae6c3996e3202e9cc4093075,1,1
0739d37bae6c3996e3202e9cc4093075,2,1
078ea0dd0607a1f06dc5ff3db93bad1c,1,1
078ea0dd0607a1f06dc5ff3db93bad1c,2,1
079815a252b9c6306c1cb955e4dac7a1,1,2
079815a252b9c6306c1cb955e4dac7a1,2,2
07a8642c12ca86ab77918beb021814de,1,1
07a8642c12ca86ab77918beb021814de,2,1
07efc8374159d00a6e90a86cab4f403f,1,2
08082c477d7cfce13837cece01033925,1,6
08082c477d7cfce13837cece01033925,2,7
080b3647373d86ba946f0c50ddb93f42,1,1
080b3647373d86ba946f0c50ddb93f42,2,1
082fc98f6ec87d0e1c7bbaac985f4c5c,1,1
082fc98f6ec87d0e1c7bbaac985f4c5c,2,1
082fc98f6ec87d0e1c7bbaac985f4c5c,3,1
